"race_m","income","income_q"
"White",11000,13.67
"White",11000,13.68
"White",11000,13.69
"White",11000,13.7
"White",11100,13.71
"White",11100,13.72
"White",11200,13.73
"White",11200,13.74
"White",11200,13.75
"White",11200,13.76
"White",11300,13.77
"White",11300,13.78
"White",11333.7019999999,13.79
"White",11400,13.8
"White",11400,13.81
"White",11400,13.82
"White",11500,13.83
"White",11500,13.84
"White",11500,13.85
"White",11500,13.86
"White",11500,13.87
"White",11500,13.88
"White",11600,13.89
"White",11600,13.9
"White",11670.558,13.91
"White",11700,13.92
"White",11700,13.93
"White",11800,13.94
"White",11800,13.95
"White",11850,13.96
"White",11900,13.97
"White",11953.7240000001,13.98
"White",12000,13.99
"White",12000,14
"White",12000,14.01
"White",12000,14.02
"White",12000,14.03
"White",12000,14.04
"White",12000,14.05
"White",12000,14.06
"White",12000,14.07
"White",12000,14.08
"White",12000,14.09
"White",12000,14.1
"White",12000,14.11
"White",12000,14.12
"White",12000,14.13
"White",12000,14.14
"White",12000,14.15
"White",12000,14.16
"White",12000,14.17
"White",12000,14.18
"White",12000,14.19
"White",12000,14.2
"White",12000,14.21
"White",12000,14.22
"White",12000,14.23
"White",12000,14.24
"White",12000,14.25
"White",12000,14.26
"White",12000,14.27
"White",12000,14.28
"White",12000,14.29
"White",12000,14.3
"White",12000,14.31
"White",12000,14.32
"White",12000,14.33
"White",12000,14.34
"White",12000,14.35
"White",12000,14.36
"White",12000,14.37
"White",12000,14.38
"White",12000,14.39
"White",12000,14.4
"White",12000,14.41
"White",12000,14.42
"White",12000,14.43
"White",12000,14.44
"White",12000,14.45
"White",12000,14.46
"White",12000,14.47
"White",12000,14.48
"White",12000,14.49
"White",12000,14.5
"White",12000,14.51
"White",12000,14.52
"White",12000,14.53
"White",12000,14.54
"White",12000,14.55
"White",12000,14.56
"White",12000,14.57
"White",12000,14.58
"White",12000,14.59
"White",12000,14.6
"White",12000,14.61
"White",12000,14.62
"White",12000,14.63
"White",12000,14.64
"White",12000,14.65
"White",12000,14.66
"White",12000,14.67
"White",12000,14.68
"White",12000,14.69
"White",12000,14.7
"White",12000,14.71
"White",12000,14.72
"White",12000,14.73
"White",12000,14.74
"White",12000,14.75
"White",12000,14.76
"White",12000,14.77
