"class_f","income","income_q"
"Reserve Army",3000,39.48
"Reserve Army",3000,39.49
"Reserve Army",3000,39.5
"Reserve Army",3000,39.51
"Reserve Army",3000,39.52
"Reserve Army",3000,39.53
"Reserve Army",3000,39.54
"Reserve Army",3000,39.55
"Reserve Army",3000,39.56
"Reserve Army",3000,39.57
"Reserve Army",3000,39.58
"Reserve Army",3000,39.59
"Reserve Army",3000,39.6
"Reserve Army",3000,39.61
"Reserve Army",3000,39.62
"Reserve Army",3000,39.63
"Reserve Army",3000,39.64
"Reserve Army",3000,39.65
"Reserve Army",3000,39.66
"Reserve Army",3000,39.67
"Reserve Army",3000,39.68
"Reserve Army",3000,39.69
"Reserve Army",3000,39.7
"Reserve Army",3000,39.71
"Reserve Army",3000,39.72
"Reserve Army",3000,39.73
"Reserve Army",3000,39.74
"Reserve Army",3000,39.75
"Reserve Army",3000,39.76
"Reserve Army",3000,39.77
"Reserve Army",3000,39.78
"Reserve Army",3000,39.79
"Reserve Army",3000,39.8
"Reserve Army",3000,39.81
"Reserve Army",3000,39.82
"Reserve Army",3000,39.83
"Reserve Army",3000,39.84
"Reserve Army",3000,39.85
"Reserve Army",3000,39.86
"Reserve Army",3000,39.87
"Reserve Army",3000,39.88
"Reserve Army",3000,39.89
"Reserve Army",3000,39.9
"Reserve Army",3000,39.91
"Reserve Army",3000,39.92
"Reserve Army",3000,39.93
"Reserve Army",3000,39.94
"Reserve Army",3000,39.95
"Reserve Army",3000,39.96
"Reserve Army",3000,39.97
"Reserve Army",3000,39.98
"Reserve Army",3000,39.99
"Reserve Army",3000,40
"Reserve Army",3000,40.01
"Reserve Army",3000,40.02
"Reserve Army",3000,40.03
"Reserve Army",3000,40.04
"Reserve Army",3000,40.05
"Reserve Army",3000,40.06
"Reserve Army",3000,40.07
"Reserve Army",3000,40.08
"Reserve Army",3000,40.09
"Reserve Army",3000,40.1
"Reserve Army",3000,40.11
"Reserve Army",3000,40.12
"Reserve Army",3000,40.13
"Reserve Army",3000,40.14
"Reserve Army",3000,40.15
"Reserve Army",3000,40.16
"Reserve Army",3000,40.17
"Reserve Army",3000,40.18
"Reserve Army",3000,40.19
"Reserve Army",3000,40.2
"Reserve Army",3000,40.21
"Reserve Army",3000,40.22
"Reserve Army",3000,40.23
"Reserve Army",3000,40.24
"Reserve Army",3000,40.25
"Reserve Army",3000,40.26
"Reserve Army",3000,40.27
"Reserve Army",3000,40.28
